CustomerID,Age,Income,Credit_Score,Is_Active,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50
100000.0,56.0,82863.8,537.0,0.0,-0.1285,-1.1775,1.5274,-0.0133,0.4152,-0.0228,-0.2437,1.1193,-0.3716,0.2922,-0.8149,1.332,0.8915,0.0331,0.7164,-0.4638,-0.0415,-0.4386,-0.4198,-0.9849,-0.4935,2.1848,1.642,1.2277,0.5609,1.5386,-0.6047,0.3047,-1.4979,-2.0851,1.6502,0.7272,0.0018,0.4037,1.2511,-1.3491,-2.4999,-0.3823,-0.1335,0.3064,-0.4191,-0.9824,0.8434,1.0079,1.7932,0.944,1.2792,1.4513,0.8146,1.8762
100001.0,69.0,78466.15,321.0,1.0,-1.06,0.8569,0.0829,1.0658,0.6351,-0.2129,-0.6813,0.442,1.2053,0.0873,-0.799,-0.894,-1.0787,1.3718,0.7208,-0.0685,0.8022,0.191,-0.4303,-0.1329,0.4227,-1.7926,-0.064,-1.0763,0.3848,-1.1113,0.9043,-0.8197,-1.2474,1.5077,0.8382,-0.4393,-0.4748,2.8317,-0.2133,-0.082,-0.3651,-2.2162,-0.1813,1.4085,-0.3369,-0.5005,-0.5506,-0.4076,-0.1866,-0.398,1.0671,-0.3443,0.4516,-1.8752
100002.0,46.0,74683.9,479.0,0.0,-0.0226,-0.0366,0.2402,-1.2676,-0.5277,-0.3312,-0.9114,-0.0132,-0.2381,0.0913,-0.3177,-2.3704,0.0836,-0.4106,0.4851,0.2424,-0.2085,0.3182,0.7071,0.5655,1.9396,-0.3755,0.7796,-0.8226,1.7233,-0.0106,2.0741,-0.8948,,0.2322,-0.5503,-0.2265,0.2708,1.6462,1.8096,-0.8922,0.0559,0.8419,0.1457,,1.0123,-1.5717,1.3669,0.5321,-0.3092,-0.499,0.8214,,1.3543,-1.8466
100003.0,32.0,78150.01,798.0,0.0,0.9535,0.9564,,1.0997,-1.081,0.0356,0.2077,1.0335,0.201,0.1255,-0.1636,1.1727,-0.6862,0.1772,0.058,-0.7675,-0.7638,-0.5239,-0.438,1.0225,-1.3382,0.2428,1.444,-0.2162,0.0638,,-0.4312,1.5329,-0.4604,1.1753,-0.3868,-0.7464,-0.3842,0.4078,,,-0.6991,1.893,-0.0564,0.0731,1.4774,2.0571,0.4938,0.3332,1.0837,-1.045,-1.8364,0.8333,-1.2114,1.0135
100004.0,60.0,65737.5,774.0,0.0,1.4505,1.6175,1.162,-0.3852,-0.3659,1.1833,0.3989,0.7826,0.4678,-0.5405,-1.0217,-0.8617,-0.1577,-0.4789,-0.681,-0.9558,-0.4616,-0.4708,0.9842,1.464,0.292,0.0478,-0.3223,0.5435,0.2255,0.4212,-0.5163,,-1.0086,1.1554,0.6139,-0.4688,0.9954,1.564,0.9259,0.1881,-1.5156,0.2488,-0.3769,-0.8382,-1.3918,2.1569,-0.986,-0.6916,-0.0748,0.0336,-1.8104,-0.4465,1.9053,0.5715
100005.0,25.0,34906.2,638.0,0.0,-0.2367,-1.6327,-1.3844,0.6655,0.052,1.1827,-0.4868,0.5553,-1.0373,-1.0671,-0.9022,-1.6846,0.454,0.8338,0.9455,0.5726,1.7606,-0.3567,0.7405,0.2204,-1.8779,-0.4756,1.9232,-0.1344,-0.0656,0.4748,0.5173,1.5984,1.0433,1.0671,-0.0704,1.5716,-1.665,0.6317,-0.2904,-0.8487,-2.4762,-0.0164,0.1473,0.5446,0.3115,0.0827,0.2099,-0.2193,-0.2585,1.4003,1.109,1.6758,1.3971,-0.5453
100006.0,78.0,65079.04,830.0,1.0,-0.455,-0.3313,1.2008,0.1993,-2.1321,0.9193,-0.8497,-0.8452,-0.1999,-1.3788,0.4446,0.6768,0.6336,1.5469,-0.157,-1.4742,-0.0172,1.69,-0.7096,0.0319,0.6807,-0.2352,2.0486,1.9778,1.1516,0.0497,-1.2882,-0.6549,-1.2953,2.1163,-0.232,0.5227,-1.097,0.1956,-0.3817,,-0.4906,-0.5716,-0.3571,0.5519,-0.1717,-1.1369,0.2575,-1.1706,-0.1288,1.5137,-0.7694,0.97,1.0923,0.0491
,38.0,86718.74,461.0,0.0,-0.2609,-0.1105,1.1597,,-0.136,0.1618,-0.1304,-0.5673,-0.3501,-0.1898,-1.5189,-0.0214,-0.5617,1.0602,-0.052,0.4652,-0.2065,1.7588,0.3897,-1.7342,0.4878,0.7776,-1.2791,0.3528,-0.7459,0.8237,-1.2481,-0.5804,0.398,0.7618,0.5305,0.5655,-0.1653,-2.922,-0.5903,0.8949,1.5754,-0.333,1.5594,-0.8053,-0.4403,-0.5494,-0.0797,,-0.6044,0.8496,0.021,0.5024,-1.2239,-1.0699
100008.0,56.0,71576.63,360.0,0.0,0.6257,1.5132,-1.7463,0.8139,-1.1318,0.7568,-0.4043,-1.1878,1.2742,-0.3441,1.5299,0.225,-0.1946,-0.9242,-1.6755,,0.096,-0.2351,-1.9753,0.0562,0.0001,-1.7557,-1.1124,-1.3334,0.6001,-0.2471,-0.205,0.9638,0.539,-0.2573,0.1242,-2.058,1.0254,3.0754,2.5461,0.783,-0.9664,-1.9147,-2.0061,-0.5402,0.9064,-0.2061,1.4057,-0.8245,0.4618,-0.3454,-1.0703,-0.7215,0.1278,-0.5575
100009.0,75.0,84787.21,384.0,1.0,-0.6238,-1.0802,1.5126,0.3045,-0.3401,-0.4533,-1.9539,-1.6796,-0.2625,3.021,-1.5684,-0.5619,-0.1928,-0.8932,0.2689,-0.2365,0.859,-0.1934,1.0715,-1.0992,-0.5563,1.8863,-1.2376,0.4419,-0.4168,-0.0375,-0.0767,-0.2953,0.5924,-0.3736,-0.3335,0.4596,-0.998,-0.3559,-1.2938,0.6597,-0.0079,-1.3067,-1.6513,-0.8165,2.5387,0.4312,0.6894,1.5802,0.6603,-0.3008,-0.3754,2.0168,2.7986,0.6878
100010.0,36.0,60330.42,846.0,,-0.6253,,-0.5785,0.246,-0.3898,1.1445,0.7525,-0.0274,0.7032,1.4952,0.999,0.1036,-0.8642,-1.5062,-1.6805,1.8056,1.9854,-0.4863,2.179,0.6557,-0.9708,-0.3419,0.467,0.4218,1.3068,0.9696,0.1802,1.5154,0.2072,0.2081,-0.5425,1.8245,-1.6387,-1.9725,-0.3699,0.4814,2.6116,-1.105,0.8108,-1.3934,0.8643,-0.6637,-0.8614,-0.2492,-0.5747,-1.5607,-2.243,-1.3498,0.8499,-0.4627
